"","CBSA","edu_hs_only","edu_ged_only","edu_bs","edu_ms","edu_prof","edu_phd","med_age_total","total_pop","med_income","one_bed_rent.x","two_bed_rent.x","three_bed_rent.x","four_bed_rent.x","five_bed_rent.x","priv_trans_all_qty","public_trans_qty","walked_qty","bike_cab_other_qty","work_from_home_qty","avg_time_to_work_all","priv_trans_all_time","priv_trans_alone_time","priv_trans_carpool_time","public_trans_time","walked_time","bike_cab_other_time","priv_trans_carpool_qty","TOTCNG","TOTADH","NONDCNG","NONDADH","TOTRATE","NONDRATE","Avg.Min.Temp","Avg.Max.Temp","cases","deaths","one_bed_avg","two_bed_avg","three_bed_avg","four_bed_avg","fiveplus_bed_avg","condo_avg","NAME","Avg_User","City, State","Year","Median AQI","CBSA_name.x","tot_emp_hc.x","loc_quotient_hc.x","tot_emp_rest.x","loc_quotient_rest.x","pop.x","pca_hc.x","rest_hc.x","one_bed_rent.y","two_bed_rent.y","three_bed_rent.y","four_bed_rent.y","five_bed_rent.y","CBSA_name.y","tot_emp_hc.y","loc_quotient_hc.y","tot_emp_rest.y","loc_quotient_rest.y","pop.y","pca_hc.y","rest_hc.y"
"179",17580,6593,1560,3684,2084,217,77,30.8,50544,42170,NA,NA,NA,NA,NA,18292,30,520,667,296,21710,20493,18292,2201,30,520,667,2201,74,27193,7,2600,562.12,53.75,48.84,74.39,1048.23076923077,7.30769230769231,250796,214940,232790,340500,363433,200174,"Clovis, NM Micro Area",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",17660,23014,5156,16066,5565,1615,881,39.7,147716,50924,677.5,748.125,940,1348.125,1630,52952,212,1366,1151,3851,61162,58433,52952,5481,212,1366,1151,5481,123,79972,23,21009,577.44,151.6988889,37.72,54.02,3025.84615384615,43,314529,339732,409368,478992,563507,246972,"Coeur d'Alene, ID Metro Area",191,"Coeur d'Alene, ID",2019,23,"Coeur d'Alene, ID",3920,"1.05",7820,"1.34",153605,0.0255200026040819,0.0255200026040819,677.5,748.125,940,1348.125,1630,"Coeur d'Alene, ID",3920,"1.05",7820,"1.34",153605,0.0255200026040819,0.0255200026040819
"181",17700,5599,1285,2641,1077,171,94,40,33765,42646,NA,NA,NA,NA,NA,11586,9,676,275,269,13978,13018,11586,1432,9,676,275,1432,99,19144,12,1270,539.71,35.79888889,49.33,73.38,536.307692307692,6,102153,117070,161251,226553,277282,222719,"Coffeyville, KS Micro Area",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",17740,10016,2095,2769,1007,185,114,40.8,43603,46428,NA,NA,NA,NA,NA,15098,70,374,223,929,17413,16746,15098,1648,70,374,223,1648,61,14712,5,1007,325.1388889,22.26,41.38,57.77,1514,31.5384615384615,69861,73780,103972,134947,188626,138912,"Coldwater, MI Micro Area",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",17780,23492,6188,25473,12295,2510,6040,26.8,243850,42948,661.428571428571,754.642857142857,891.785714285714,1275.35714285714,1552.14285714286,87536,2651,3261,2779,3441,109575,100884,87536,13348,2651,3261,2779,13348,242,97436,NA,NA,477.5688889,NA,57.3666666666667,85.3233333333333,2845.69230769231,24.8974358974359,111886,105944,189588,211489,263691,NA,"College Station-Bryan, TX Metro Area",2141,"College Station-Bryan, TX",2019,0,"College Station-Bryan, TX",5030,"0.76",12500,"1.21",253946,0.0198073606199743,0.0198073606199743,661.428571428571,754.642857142857,891.785714285714,1275.35714285714,1552.14285714286,"College Station-Bryan, TX",5030,"0.76",12500,"1.21",253946,0.0198073606199743,0.0198073606199743
"184",17820,75505,15900,98220,48944,7715,5507,34.3,688643,60335,895.833333333333,1054.16666666667,1333.75,1901.11111111111,2275.97222222222,257806,2427,11391,5109,20072,311989,293062,257806,35256,2427,11391,5109,35256,450,214728,61,47988,317.4038889,60.319444445,35.445,56.62,3939.65384615385,94.0769230769231,240044,221824,259240,304365,359893,271870,"Colorado Springs, CO Metro Area",2560,"Colorado Springs, CO",2019,45,"Colorado Springs, CO",17400,"1.02",29590,"1.1200000000000001",712266,0.0244290756543202,0.0244290756543202,895.833333333333,1054.16666666667,1333.75,1901.11111111111,2275.97222222222,"Colorado Springs, CO",17400,"1.02",29590,"1.1200000000000001",712266,0.0244290756543202,0.0244290756543202
"185",17860,17126,3628,26549,12780,3824,4381,30.3,172773,50813,658,709.333333333333,856.666666666667,1150,1433.33333333333,70375,854,3577,1833,3386,85707,79443,70375,9068,854,3577,1833,9068,167,63949,15,8463,393.1888889,52.03,46.58,67.55,5192.07692307692,13.6153846153846,109516,107145,140255,188578,255481,142847,"Columbia, MO Metro Area",1039,"Columbia, MO",2019,38,"Columbia, MO",8830,"1.58",10430,"1.2",176515,0.0500240772738861,0.0500240772738861,658,709.333333333333,856.666666666667,1150,1433.33333333333,"Columbia, MO",8830,"1.58",10430,"1.2",176515,0.0500240772738861,0.0500240772738861
"186",17900,121584,19601,102482,47502,9095,6569,36.2,800559,51287,734.086021505376,808.279569892473,923.225806451613,1199.03225806452,1478.38709677419,305560,2498,16475,8916,12755,362620,334731,305560,29171,2498,16475,8916,29171,1071,383497,126,40273,473.586111116667,34.909814815,54.52,75.7966666666667,4714.12820512821,91.5512820512821,121740,118304,157129,216490,248632,170963,"Columbia, SC Metro Area",2651,"Columbia, SC",2019,43,"Columbia, SC",22860,"1.01",34060,"0.97",816664,0.0279919281369082,0.0279919281369082,734.086021505376,808.279569892473,923.225806451613,1199.03225806452,1478.38709677419,"Columbia, SC",22860,"1.01",34060,"0.97",816664,0.0279919281369082,0.0279919281369082
"187",17980,45749,10558,28945,12478,3558,1953,34.4,312459,41633,670.434782608696,742.391304347826,876.086956521739,1173.69565217391,1495.21739130435,108114,1368,2316,2257,9138,63278,120615,108114,12501,1368,2316,2257,12501,475,169918,NA,NA,419.827555558,NA,56.368,77.534,2146.98461538462,41.7692307692308,92084,108344,144974,184257,217086,169011,"Columbus, GA-AL Metro Area",1447,"Columbus, GA-AL",2019,42,"Columbus, GA-AL",7560,"1.1000000000000001",12160,"1.1399999999999999",307724,0.0245674695506363,0.0245674695506363,670.434782608696,742.391304347826,876.086956521739,1173.69565217391,1495.21739130435,"Columbus, GA-AL",7560,"1.1000000000000001",12160,"1.1399999999999999",307724,0.0245674695506363,0.0245674695506363
"188",18020,15840,3056,9685,5255,499,632,37.9,80203,55874,718.75,738.75,878.125,1154.375,1307.5,33156,221,613,638,931,38016,36544,33156,3388,221,613,638,3388,116,37524,15,3883,488.6288889,50.56,47.51,64.18,1289.38461538462,61,133390,141252,188664,251980,343342,190077,"Columbus, IN Metro Area",171,"Columbus, IN",2019,41,"Columbus, IN",1980,"0.65",3340,"0.71",81893,0.0241778906622056,0.0241778906622056,718.75,738.75,878.125,1154.375,1307.5,"Columbus, IN",1980,"0.65",3340,"0.71",81893,0.0241778906622056,0.0241778906622056
"189",18060,9615,2301,5574,2447,510,286,36.9,59785,41219,NA,NA,NA,NA,NA,21825,19,199,435,568,24535,23882,21825,2057,19,199,435,2057,140,39883,13,2429,667.1688889,40.63,52.85,77.53,1682.61538461538,59.3076923076923,73494,90343,117987,180651,300714,114761,"Columbus, MS Micro Area",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
